product_id	product_name	duration
471	大峡谷大王国EcoStar直升机之旅/Grand Kingdom (Ecostar Helicopter Tour)	null
491	鲍威尔湖彩虹桥空中之旅/Rainbow Bridge and Lake Powell Airplane Tour	null
494	纪念碑山谷空中之旅B/Monument Valley, Lake Powell, & Rainbow Bridge Airplane Tour	null
548	一日洛杉矶城市观光/Grand Tour of Los Angeles  (英文团)	null
549	洛衫矶夜游	null
555	一日环球影城,洛杉矶城市好莱坞观光/LA City Tour & Hollywood + Universal Studios  (英文团)	null
557	保罗盖蒂博物馆之旅/J. Paul Getty Museum Tour (英文团)	null
637	LASEA: Ramada Plaza Lax	null
702	一日旧金山,穆尔伍兹,索萨利托全英文高级团/Combination Deluxe SFO City Tour with Muir Woods and Sausalito Day Tour (英文团)	null
750	纽约浪漫直升机之旅, 以最快的方式欣赏纽约全貌/The Big Apple Tour帅哥寇家瑞	null
751	纽约浪漫直升机游, 从此爱上空中体验/New York, New York Tour	null
759	曼哈顿浪漫空中直升机游	null
1117	Galapagos Highlights & Peru With Tropical Forest Ext	null
1680	15-Day Pacific Northwest Explorer With Vancouver Extension Bus Tour-San Diego, Los Angeles, San Francisco and Seattle	null
1842	Galapagos Highlights	null
2047	扑朔迷离令人窒息大瀑布冒险游/All American Adventure Tour 	null
2118	奇幻美加两境尼亚加拉瀑布空中之旅/1-Day Guided Tour to Niagara Falls from New York(Roundtrip Airfare Included)	null
2166	Beach - Heli Surfing Tour	null
2189	科罗拉多河直升机+漂流之旅/Colorado River Voyage Tour	null
2190	大峡谷直升飞机庆典之旅(EC-130 Ecostar喷气式飞机)/Sunset Grand Celebration Tour	null
2192	大峡谷漂流之旅/Smooth Water Float Tour	null
2268	无与伦比一   日纽约sdf'游+     夏季超级促销	null
2403	《黑道家族》场景游, 惊悚犯罪黑手党/Sopranos Sites tour(On Location Tours) 	null
2404	《绯闻女孩》场景游, 回味八卦与爱恨情仇/Gossip Girl Sites Tour(On Location Tours)  	null
2405	纽约电影拍摄地之旅, 回味蜘蛛侠我是传奇....../New York TV and Movie Sites Tour(On Location Tours) 	null
2406	当地演员带你游中央公园影视拍摄地, 见证影视的发展/Central Park Movie Sites Walking Tour(On Location Tours)	null
2429	性感之都迈阿密魅力之旅/Miami City Tour	null
2430	比斯坎湾观景巡航之旅/Biscayne Bay Boat Tour (With Transportation) 	null
2443	沼泽荒野自然奥秘汽船探索/Everglades Airboat Adventure Tour 	null
2655	"草上飞"穿越大沼泽, 观景巡航比斯坎湾/Biscayne Bay Boat & Everglades Airboat Adventure Tour	null
2659	西礁岛疯狂浮潜体验: 探秘海底世界/Key West with Snorkeling Adventure Tour 	null
2672	西礁岛水陆观光: 玻璃船下五颜六色珊瑚礁, 海洋生物齐欢腾/Key West with Glass Bottom Boat Ride Tour	null
2680	鸟瞰檀香山, 浪漫直升机/30-Minute The Pali Makani Helicopter Tour 	null
2681	闪耀明珠欧胡岛直升机观光之旅/45-Minute The Hidden Oahu Helicopter Tour 	null
2682	惊鸿一瞥欧胡岛, 神圣瀑布勾魂游直升机之旅/60-Minute The Ali'i Sacred Falls Helicopter Tour	null
2717	波士顿两大名校, 港湾游船, 自由之路, 市区经典游 	null
2790	Oahu Adventure Tour to Pearl Harbor & Circle Island	null
2859	1-Day Redwoods and Wine Country Tour	null
2865	悠闲自在长岛度假, 风景秀丽萨格港漫步, 购物中心欢乐选购/1 Day Tour to The Hamptons & Shopping in Tanger Outlets(英文团)	null
2884	一日加利福尼亚海滩之旅(全英文团)/California Beaches Tour	null
2885	一日圣塔芭芭拉,丹麦村,赫氏古堡之旅/California Coast 1 Day (全英文团)	null
2886	一日拉荷亚海湾,圣地亚哥,科罗纳多岛之旅/San Diego 1 Day (全英文团)	null
2919	一日大峡谷国家公园精致游 	null
2963	Victoria Whale Watching Safari Tour	null
3034	一日迈阿密海滩GPS导航全景观光车之旅	null
3105	皇家加拿大尼亚加拉瀑布激情冒险游/Royal Canadian	null
3107	日景美境尼亚加拉大瀑布亲密接触/All American Tour	null
3108	璀璨美境大瀑布, 夜幕彩虹神秘纱/All American Illumination Tour	null
3148	普利茅斯"五月花"纪念, 罗德岛"避暑山庄"休闲之旅 	null
3168	Jubilee Show (法国红磨坊上空秀)开积分看就看记得发的看得开的哭	null
3172	Le Reve Show(梦幻秀)	null
3226	拉斯维加斯超级夜游	null
3254	西峡谷直升机漫步之旅/Grand Canyon Golden Eagle Helicopter Tour with Skywalk Express	null
3262	大峡谷直升机,游船,漫步庆典之旅/Grand Canyon Celebration Helicopter & Boat Tour with Skywalk	null
3266	西峡谷直升机空中观光之旅/Grand Canyon West Golden Eagle Helicopter Tour from LV McCarran	null
3269	大峡谷直升机日落庆典之旅/Sunset Grand Canyon Celebration Tour from LV McCarran	null
3275	西峡谷玻璃桥漫步之旅(空调客机)/Grand Canyon West Rim Air and Ground Sightseeing with Skywalk & Indian Adventure Tour	null
3277	西峡谷 陆地+空中+小船一日游 (豪华直升机)(含玻璃桥门票)/Grand Canyon Airplane, Boat, Helicopter Combination Tour with Skywalk	null
3278	胡佛大坝巴士之旅/Hoover Dam Discovery Bus Tour	null
3279	南峡谷豪华巴士,直升机之旅/LV South Rim Bus & Helicopter Combination Tour	null
